resolution,fixed,won't fix,not a problem,duplicate,invalid,later,resolved,abandoned,cannot reproduce,implemented,done,pending closed,not a bug,information provided,workaround,incomplete,delivered,won't do,works for me,auto closed,obsolete,can't do,duplicate ticket,feedback received,complete,works as designed,remind,rejected,out of date,duplicate issue,deferred,incomplete description,partially completed,explained,timed out,handled by support,incorrectly filed,answered,tracked elsewhere,spam,deployed,support request,resolved locally,unsolved mysteries,low engagement,staged,migrated to another its,unresolved,mirrororphan,resolved at apache,upstream,stop dots,will not implement,test pending,current release,next release,roadmap candidate,declined,canceled,sent to docs,bugzillaorphan,errata,parked,automatically closed,out of scope,sent to forums,known error,deprioritized,done-errata,gone away,community answered,Total
JiraEcosystem-AG,854,47,0,52,27,0,0,0,16,0,0,0,15,0,0,0,0,0,0,0,447,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1466
RedHat-ENTMQMAAS,0,26,0,3,0,0,0,0,11,0,1649,0,3,0,0,0,0,42,0,0,5,0,0,0,0,0,0,42,50,47,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1891
Apache-DRILL,4766,108,102,281,140,14,21,9,105,5,66,17,40,9,5,4,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5702
Apache-HDFS,9870,447,411,1237,323,52,19,22,152,22,37,1,29,2,5,46,1,14,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12697
RedHat-JBDS,1,140,0,4,0,0,0,0,110,0,3098,0,3,0,0,0,0,21,0,0,11,1,0,0,0,0,0,171,170,250,16,15,26,1,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4089
RedHat-JBPAPP,0,265,0,12,0,0,0,0,52,0,4498,0,0,0,0,0,0,54,0,0,67,0,0,0,0,0,0,251,545,134,18,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5933
JiraEcosystem-PLUG,807,39,0,43,29,0,0,0,14,0,1,0,16,0,0,1,0,3,0,0,131,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110
Apache-NUTCH,1850,250,80,113,75,4,7,14,28,104,5,1,3,1,0,10,0,3,1,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2696
Apache-ACCUMULO,3175,336,201,296,101,23,8,135,167,5,42,0,6,0,1,69,0,4,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4586
Apache-COCOON,1523,137,1,82,26,2,0,0,40,1,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1955
RedHat-SB,0,18,0,2,0,0,0,0,5,0,1036,0,0,0,0,0,0,69,0,0,3,0,0,0,0,0,0,21,25,20,3,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1212
Apache-JS2,1077,50,5,25,45,6,0,0,31,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1253
Spring-SWF,699,131,0,50,48,0,0,0,56,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,199,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1209
RedHat-JBESB,0,61,0,0,0,0,0,0,8,0,2965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,148,83,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3450
Apache-MRM,1331,171,41,127,2,1,2,1,110,0,0,0,4,0,2,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1801
RedHat-JBIDE,7,862,0,39,0,0,0,0,762,0,20304,0,11,0,0,0,0,155,0,0,38,4,0,0,0,0,0,2005,1088,1017,32,59,117,5,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26523
RedHat-JBTM,0,139,0,16,0,0,0,0,52,0,2701,0,0,0,0,1,0,24,0,0,9,1,0,0,0,0,0,118,97,136,8,30,8,4,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3362
RedHat-JWS,2,34,0,8,0,0,0,0,3,0,738,0,7,0,0,0,0,34,0,0,15,0,0,0,0,0,0,44,20,34,7,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,964
Apache-ROL,1331,312,87,73,9,2,0,48,141,6,6,0,2,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2069
RedHat-JBAS,0,205,0,1,0,0,0,0,71,0,5335,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,739,1301,284,71,69,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8094
JFrog-RTFACT,0,0,0,514,0,0,0,0,108,0,5937,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11627
Apache-IOTDB,3898,73,62,119,16,6,39,11,47,54,179,1,33,1,1,4,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4566
Jira-BCLOUD,9284,3534,0,2623,2290,0,0,0,80,0,29,0,30,0,0,3,0,65,0,0,707,0,0,0,0,0,0,0,0,0,0,0,0,0,269,334,5,14,23,1,1,34,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19334
Apache-TAP5,1627,203,67,142,317,0,0,70,51,5,13,0,4,1,0,55,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2562
Jira-JRASERVER,12484,6419,0,4844,582,0,0,0,583,0,231,0,615,0,0,109,0,5368,0,0,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,3536,550,9,1858,538,2,42,492,291,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39618
Apache-DIRMINA,781,76,35,29,63,1,0,57,18,0,0,0,8,0,0,12,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1087
RedHat-OCPPLAN,0,0,0,13,0,0,0,0,0,0,694,0,0,0,0,0,0,181,0,0,247,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137
Apache-FLINK,17888,1154,791,1937,582,133,315,398,496,941,815,6,173,109,31,35,0,419,2,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26240
Apache-METRON,0,0,0,0,0,0,0,0,0,0,1656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656
Spring-DATAMONGO,1090,108,0,138,53,0,0,0,37,0,23,0,0,0,0,1,0,1,0,0,0,0,0,0,559,203,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2215
Apache-LOG4J2,2086,89,144,116,63,6,8,31,27,19,14,0,34,57,10,11,1,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2735
Apache-BOOKKEEPER,795,69,19,57,8,0,0,0,7,7,19,0,1,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1022
Apache-STR,1399,380,87,278,4,0,0,0,110,0,1,0,1,0,0,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2765
Apache-YARN,6190,330,160,978,243,21,16,6,70,27,33,1,17,6,3,3,0,18,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8126
RedHat-MON,0,0,0,26,0,0,0,0,1,0,711,0,6,0,0,0,0,39,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904
Spring-SPR,4526,2560,0,765,807,0,0,0,438,0,2,0,0,0,0,127,0,175,0,0,0,0,0,0,5831,682,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15938
RedHat-JBEAP,2,305,0,96,0,0,0,0,137,0,6531,0,84,0,0,0,0,645,0,0,143,2,3,0,0,0,0,730,823,622,196,11,5,74,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10442
Apache-PHOENIX,4211,131,160,343,148,11,70,1,79,24,11,2,30,6,3,14,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5269
Apache-JCR,3555,132,46,162,166,16,0,4,60,0,4,0,11,0,0,23,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4184
Apache-FALCON,1555,22,20,76,50,43,1,0,14,11,3,4,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1804
RedHat-WELD,0,55,0,7,0,0,0,0,39,0,1964,0,7,0,0,0,0,15,0,0,3,0,0,0,0,0,0,206,121,65,9,10,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2521
Apache-BIGTOP,2768,115,46,133,51,2,9,4,36,12,32,2,4,1,1,1,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3228
Apache-SSHD,926,60,68,41,7,1,0,7,19,5,4,0,9,70,10,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1234
RedHat-OSSM,1,3,0,32,0,0,0,0,3,0,1249,0,16,0,0,0,0,124,0,0,32,3,1,0,0,0,0,26,9,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503
JiraEcosystem-PLE,930,324,0,78,56,0,0,0,46,0,0,0,11,0,0,16,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,17,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499
Apache-SCB,1803,87,10,37,8,3,53,0,1,42,211,0,1,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2266
Apache-SLIDER,850,30,19,41,6,0,0,0,11,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963
RedHat-RFE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jira-OPSGENIE,108,3,0,46,7,0,0,0,6,0,4,0,14,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203
RedHat-QUARKUS,31,7,0,31,0,0,0,0,4,0,998,0,44,0,0,1,0,84,0,0,17,2,3,0,0,0,0,6,3,31,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1268
RedHat-ENTESB,39,609,0,59,0,0,0,0,254,0,10606,0,107,0,0,0,0,780,0,0,135,3,1,0,0,0,0,340,684,557,22,25,64,241,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,50,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14604
RedHat-FUSETOOLS,0,62,0,14,0,0,0,0,90,0,2184,0,3,0,0,0,0,98,0,0,25,1,0,0,0,0,0,114,150,105,1,9,7,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2876
Apache-RAVE,817,11,13,13,2,1,0,0,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864
Apache-HIVE,16357,533,328,1357,322,28,22,15,174,44,70,12,46,12,7,46,0,26,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19407
Apache-KNOX,2317,56,14,73,36,0,2,9,20,8,1,0,12,5,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2561
Apache-NETBEANS,1582,59,82,282,129,4,26,56,118,132,20,0,56,101,13,259,0,9,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2941
Apache-SLING,8935,371,86,180,132,10,9,11,46,29,770,1,17,0,0,11,0,18,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10628
Spring-STS,1834,1005,0,296,60,0,0,0,228,0,12,0,0,0,0,9,0,0,0,0,0,0,0,0,821,141,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4407
Apache-WW,3450,507,639,182,34,0,6,0,118,36,5,0,12,0,1,67,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5090
Jira-CLOUD,2941,1938,0,677,273,0,0,0,149,0,19,0,121,0,0,17,0,6,0,0,630,0,0,0,0,0,0,0,0,0,0,0,0,0,57,97,7,43,47,85,9,163,12,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7297
Apache-AIRAVATA,2493,102,33,58,100,15,4,14,37,4,12,0,2,0,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2885
Apache-CALCITE,3399,63,116,194,90,3,14,8,27,4,1,0,27,1,1,2,0,7,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3961
Apache-XALANJ,1223,62,6,241,48,1,0,0,99,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1960
Apache-CLOUDSTACK,6630,405,293,315,227,30,3,6,310,40,13,3,2,0,1,58,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8339
Spring-DATAREDIS,402,64,0,55,47,0,0,0,13,0,14,0,0,0,0,0,0,3,0,0,0,0,0,0,499,48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146
RedHat-APIMAN,0,9,0,1,0,0,0,0,16,0,812,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,33,16,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,917
Apache-DIRSERVER,1522,162,36,49,89,4,1,7,33,0,0,0,2,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913
JiraEcosystem-ACJIRA,641,70,0,105,35,0,0,0,24,0,49,0,29,0,0,4,0,21,0,0,45,0,0,0,0,0,0,5,0,0,0,0,0,0,107,14,0,138,70,0,0,4,3,0,0,0,0,2,0,0,0,0,0,0,0,0,2,5,2,1,0,0,0,0,0,0,0,0,0,0,0,1376
Apache-GEODE,7076,387,127,439,76,13,23,36,202,27,59,0,24,5,6,11,5,81,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8602
Apache-JUDDI,847,27,29,21,19,0,0,3,22,6,14,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,993
JiraEcosystem-AMPS,786,277,0,73,23,0,0,0,26,0,11,0,24,0,0,1,0,3,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,0,9,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1412
RedHat-KATA,4,3,0,6,0,0,0,0,6,0,609,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,16,23,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,696
RedHat-OPECO,0,0,0,13,0,0,0,0,1,0,688,0,0,0,0,0,0,56,0,0,112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871
Apache-STORM,2345,66,47,134,66,0,2,5,21,3,5,0,8,0,0,4,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2711
RedHat-EJBTHREE,0,26,0,1,0,0,0,0,20,0,1438,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,118,88,55,10,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1765
Apache-DIRSTUDIO,905,35,38,30,26,1,0,5,32,1,5,0,1,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088
JiraEcosystem-FRGE,27,1,0,11,1,0,1,0,3,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348
Apache-SYNAPSE,887,27,2,17,31,3,0,0,8,1,9,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,990
RedHat-SDN,1,0,0,28,0,0,0,0,10,0,868,0,6,0,0,0,0,60,0,0,221,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199
Apache-OAK,7503,346,91,629,74,80,10,9,183,11,80,5,22,1,1,142,0,16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9205
RedHat-ENTMQBR,1,19,0,118,0,0,0,0,39,0,2624,0,96,0,0,0,0,205,0,0,144,3,4,0,0,0,0,229,32,142,0,0,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3733
Sonatype-NEXUS,5968,1716,0,539,0,0,0,0,284,0,285,0,365,0,0,265,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,87,163,0,0,0,0,0,0,9805
RedHat-SRVKP,0,0,0,5,0,0,0,0,6,0,915,0,3,0,0,0,0,8,0,0,5,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963
Apache-UIMA,5486,115,43,103,42,19,1,240,30,4,20,0,0,3,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6112
Apache-CONTINUUM,1699,199,28,191,0,0,0,0,118,0,0,1,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2312
Spring-DATAES,136,21,0,50,26,0,0,0,17,0,31,0,0,0,0,0,0,50,0,0,0,0,0,0,588,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952
RedHat-HAWKULAR,0,20,0,2,0,0,0,0,12,0,900,0,0,0,0,0,0,15,0,0,9,0,0,0,0,0,0,27,220,34,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1242
